title,year,certificate,rating,description,director,writer,actors,genres
Flyin' Ryan,2003,2003,2.7,"12-year-old Ryan's luck is about to change, when he discovers a strange pair of magical sneakers. When he puts on these shoes, Ryan becomes FLYIN' RYAN.. and the sky's the limit! With his newfound pal Nicki, along with Theo the dog, Ryan is ready to take on Dirk the bully and his skateboarding crew.",Linda Shayne,"['Linda Shayne', 'Linda Shayne']","['Andy Weiss', 'Connor Synder', 'Geneve Rupert', 'Chris McGurrin', 'Damon Schoeffler', 'Leigh G. Miller', 'Bruce Tenenbaum', 'John-Michael Langston', 'Wayne Schneidemann', 'Donna Strickland', 'Hank Porter', 'Jonny Goold', 'Lauren Stephens', 'Kristin Paiva', 'Hillary Podell', 'Masanoba Ota', 'Chris Torres', 'Kristy J. Weiss']",Linda Shayne
Big Money Rustlas,2010,2010,3.9,"In the Wild West town of Mudbug, Sheriff Sugar Wolf arrives to confront an over-the-top villain, Big Baby Chips.",Paul Andresen,"['Paul Andresen', 'Violent J']","['Violent J', 'Shaggy 2 Dope', 'Tony Borcherding', 'Blaze Ya Dead Homie', 'Boondox', 'Mark Jury', 'Jason Mewes', 'Ron Jeremy', 'Bridget Powers', 'Jody Sadler', 'Jamie Madrox', 'Monoxide', 'Jumpsteady', 'Brian David', 'Cindie Haynie', 'Steve Robinson', 'Clay', 'Otis']",Paul Andresen
The Medallion,2003,2003,5.2,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,Gordon Chan,"['Gordon Chan', 'Alfred Cheung']","['Jackie Chan', 'Lee Evans', 'Claire Forlani', 'Julian Sands', 'John Rhys-Davies', 'Anthony Chau-Sang Wong', 'Christy Chung', 'Johann Myers', 'Alex Bao', 'Siu-Ming Lau', 'Diana C. Weng', 'Pok Fu Chow', 'Tat-Kwong Chan', 'Wai-Cheung Mak', 'Anthony Carpio', 'Bruce Khan', 'Nicholas Tse', 'Edison Chen']",Gordon Chan
Mystics,2003,2003,5.8,A dark comedy about two old-time con-men who pretend to be able to communicate with the dead.,David Blair,"['David Blair', 'Wesley Burrowes']","[""Milo O'Shea"", 'David Kelly', 'Maria Doyle Kennedy', 'Liam Cunningham', 'Doreen Keogh', 'Stanley Townsend', 'Pat Kinevane', 'Eva Birthistle', 'Vincent Walsh', 'Michael Liebmann', 'John Kavanagh', 'Ronnie Drew', 'Don Baker', 'Gavin Kelty', 'Alan King', 'Karl Shiels', 'Eoin McCarthy', 'Tom Murphy']",David Blair
The Dark Wind,1991,1991,5.5,A Navajo police officer is mixed up in drug smuggling and murder on the reservation.,Errol Morris,"['Errol Morris', 'Tony Hillerman']","['Lance Baker', 'Betty C. Barlow', 'Gary Basaraba', 'Billy Beck', 'Arlene Bowman', 'Guy Boyd', 'Charlie Carpenter', 'Blake Clark', 'Julia Collins', 'Kee Collins', 'Gary Farmer', 'Patrick Jensen', 'John Karlen', 'Neil Kayquoptewa', 'James Koots', 'Jane Loranger', 'Lonnie Mace', 'Fidel Moreno']",Errol Morris
Something's Gotta Give,2003,2003,6.7,A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.,Nancy Meyers,"['Nancy Meyers', 'Nancy Meyers']","['Jack Nicholson', 'Diane Keaton', 'Keanu Reeves', 'Amanda Peet', 'Frances McDormand', 'Jon Favreau', 'Paul Michael Glaser', 'Rachel Ticotin', 'Paige Butcher', 'Tanya Sweet', 'Kristine Szabo', 'Daniella Van Graas', 'Tamara Spoelder', 'Sonja Francis', 'Vanessa Trump', 'Kathy Tong', 'Marjie Gum', 'Jennifer Siebel Newsom']",Nancy Meyers
S.W.A.T.,2003,2003,6.0,"An imprisoned drug kingpin offers a huge cash reward to anyone that can break him out of police custody, and only the L.A.P.D.'s Special Weapons and Tactics team can prevent it.",Clark Johnson,"['Clark Johnson', 'Robert Hamner']","['Samuel L. Jackson', 'Colin Farrell', 'Michelle Rodriguez', 'LL Cool J', 'Josh Charles', 'Jeremy Renner', 'Brian Van Holt', 'Olivier Martinez', 'Reg E. Cathey', 'Larry Poindexter', 'Page Kennedy', 'Domenick Lombardozzi', 'James DuMont', 'Denis Arndt', 'Lindsey Ginter', 'Lucinda Jenney', 'E. Roger Mitchell', 'Jay Acovone']",Clark Johnson
You Don't Mess with the Zohan,2008,2008,5.6,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.,Dennis Dugan,"['Dennis Dugan', 'Adam Sandler']","['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Ido Mosseri', 'Rob Schneider', 'Dave Matthews', 'Michael Buffer', 'Charlotte Rae', 'Sayed Badreya', 'Daoud Heidami', 'Kevin Nealon', 'Robert Smigel', 'Dina Doron', 'Shelley Berman', 'Chris Rock', 'Mariah Carey']",Dennis Dugan
My Bloody Valentine,1981,1981,6.2,A decades-old folk tale surrounding a deranged murderer killing those who celebrate Valentine's Day turns out to be true to legend when a group defies the killer's order and people start turning up dead.,George Mihalka,"['George Mihalka', 'Stephen A. Miller']","['Paul Kelman', 'Lori Hallier', 'Neil Affleck', 'Keith Knight', 'Alf Humphreys', 'Cynthia Dale', 'Helene Udy', 'Rob Stein', 'Thomas Kovacs', 'Terry Waterland', 'Carl Marotte', 'Jim Murchison', 'Gina Dick', 'Peter Cowper', 'Don Francks', 'Patricia Hamilton', 'Larry Reynolds', 'Jack Van Evera']",George Mihalka
Cop Out,2010,2010,5.5,"Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.",Kevin Smith,"['Kevin Smith', 'Robb Cullen']","['Bruce Willis', 'Tracy Morgan', 'Juan Carlos Hernández', 'Cory Fernandez', 'Jason Hurt', 'Jeff Lima', 'Sean Cullen', 'Kevin Pollak', 'Adam Brody', 'Guillermo Diaz', 'Alberto Bonilla', 'Robinson Aponte', 'Jeremy Dash', 'Mando Alvarado', 'Michelle Trachtenberg', 'Jason Lee', 'Francie Swift', 'Rashida Jones']",Kevin Smith
The Unborn,2009,2009,4.7,A young woman fights the spirit that is slowly taking possession of her.,David S. Goyer,"['David S. Goyer', 'David S. Goyer']","['Odette Annable', 'Gary Oldman', 'Cam Gigandet', 'Meagan Good', 'Idris Elba', 'Jane Alexander', 'Atticus Shaffer', 'James Remar', 'Carla Gugino', 'C.S. Lee', 'Rhys Coiro', 'Michael Sassone', 'Ethan Cutkosky', 'Craig J. Harris', 'Rachel Brosnahan', 'Kymberly Mellen', 'Brian Boland', 'Mindy Bell']",David S. Goyer
Charlie and the Chocolate Factory,2005,2005,6.7,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Tim Burton,"['Tim Burton', 'Roald Dahl']","['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor', 'Missi Pyle', 'James Fox', 'Deep Roy', 'Christopher Lee', 'Adam Godley', 'Franziska Troegner', 'AnnaSophia Robb', 'Julia Winter', 'Jordan Fry', 'Philip Wiegratz', 'Blair Dunlop', 'Liz Smith', 'Eileen Essell']",Tim Burton
Star Trek V: The Final Frontier,1989,1989,5.5,Captain Kirk and his crew must deal with Mr. Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy.,William Shatner,"['William Shatner', 'Gene Roddenberry']","['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'Walter Koenig', 'Nichelle Nichols', 'George Takei', 'David Warner', 'Laurence Luckinbill', 'Charles Cooper', 'Cynthia Gouw', 'Todd Bryant', 'Spice Williams-Crosby', 'Rex Holman', 'George Murdock', 'Jonathan Simpson', 'Beverly Hart', 'Steve Susskind']",William Shatner
Albert Nobbs,2011,2011,6.7,"Albert Nobbs struggles to survive in late 19th-century Ireland, where women aren't encouraged to be independent. Posing as a man so she can work as a butler in Dublin's most elegant hotel, Albert meets a handsome painter and looks to escape the lie she has been living.",Rodrigo García,"['Rodrigo García', 'Gabriella Prekop']","['Glenn Close', 'Mia Wasikowska', 'Aaron Taylor-Johnson', 'Antonia Campbell-Hughes', 'Pauline Collins', 'Maria Doyle Kennedy', 'Mark Williams', 'James Greene', 'Serena Brabazon', 'Michael McElhatton', 'Dolores Mullally', 'Bonnie McCormack', 'Phyllida Law', 'Brendan Gleeson', 'Kenneth Collard', 'Judy Donovan', 'Jonathan Rhys Meyers', 'Phoebe Waller-Bridge']",Rodrigo García
A Million Ways to Die in the West,2014,2014,6.1,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his newly found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",Seth MacFarlane,"['Seth MacFarlane', 'Seth MacFarlane']","['Seth MacFarlane', 'Charlize Theron', 'Liam Neeson', 'Amanda Seyfried', 'Giovanni Ribisi', 'Neil Patrick Harris', 'Sarah Silverman', 'Christopher Hagen', 'Wes Studi', 'Matt Clark', 'Evan Jones', 'Aaron McPherson', 'Rex Linn', 'Brett Rickaby', 'Alex Borstein', 'Ralph Garman', 'John Aylward', 'Jay Patterson']",Seth MacFarlane
Arthur 3: la guerre des deux mondes,2010,2010,5.4,"With Maltazard now seven feet tall and Arthur still two inches small, our hero must find a way to grow back to his normal size and stop the Evil M once and for all, with the help of Selenia and Betameche.",Luc Besson,"['Luc Besson', 'Luc Besson']","['Mia Farrow', 'Ron Crawford', 'Robert Stanton', 'Penny Balfour', 'Richard Davis', 'Jean Bejote Njamba', 'Valéry Koko Kingue', 'Aba Koïta', 'Laurent Mendy', 'Bienvenue Kindoki', 'Steve Routman', 'David Gasman', 'Cooper Daniels', 'Norman Stokle', 'Stuart Rudin', 'Dashiell Eaves', 'Joseph Rezwin', 'Stephen Shagov']",Luc Besson
Tammy,2014,2014,4.9,"After getting fired and finding out her husband is cheating, Tammy hits the road with her profane, alcoholic grandmother.",Ben Falcone,"['Ben Falcone', 'Melissa McCarthy']","['Melissa McCarthy', 'Susan Sarandon', 'Kathy Bates', 'Allison Janney', 'Dan Aykroyd', 'Mark Duplass', 'Gary Cole', 'Nat Faxon', 'Toni Collette', 'Sandra Oh', 'Ben Falcone', 'Sarah Baker', 'Rich Williams', 'Steve Little', 'Dakota Lee', 'Mark L. Young', 'Mia Rose Frampton', 'Steve Mallory']",Ben Falcone
Seven Pounds,2008,2008,7.6,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Gabriele Muccino,"['Gabriele Muccino', 'Grant Nieporte']","['Will Smith', 'Rosario Dawson', 'Woody Harrelson', 'Michael Ealy', 'Barry Pepper', 'Elpidia Carrillo', 'Robinne Lee', 'Joe Nunez', 'Bill Smitrovich', 'Tim Kelleher', 'Gina Hecht', 'Andy Milder', 'Judyann Elder', 'Sarah Jane Morris', 'Madison Pettis', 'Ivan Angulo', 'Octavia Spencer', 'Cynthia Rube']",Gabriele Muccino
Paul Blart: Mall Cop,2009,2009,5.2,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.",Steve Carr,"['Steve Carr', 'Kevin James']","['Kevin James', ""Keir O'Donnell"", 'Jayma Mays', 'Raini Rodriguez', 'Shirley Knight', 'Stephen Rannazzisi', 'Peter Gerety', 'Bobby Cannavale', 'Adam Ferrara', 'Jamal Mixon', 'Adhir Kalyan', 'Erick Avari', 'Gary Valentine', 'Allen Covert', 'Mike Vallely', 'Mike Escamilla', 'Jason Ellis', 'Jason Packham']",Steve Carr
Michael,1996,1996,5.7,Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.,Nora Ephron,"['Nora Ephron', 'Peter Dexter']","['John Travolta', 'Andie MacDowell', 'William Hurt', 'Bob Hoskins', 'Robert Pastorelli', 'Jean Stapleton', 'Teri Garr', 'Wallace Langham', 'Joey Lauren Adams', 'Carla Gugino', 'Tom Hodges', 'Catherine Lloyd Burns', 'Richard Schiff', 'Calvin Trillin', 'Donald J. Lee Jr.', 'JoAnn Fregalette Jansen', 'David Harrod', 'Jane Lanier']",Nora Ephron
Heartstopper,2006,2006,4.0,Two hospitalized young people discover that things can get even worse when the dilapidated institution is stranded by a severe storm and a maniac stalks the corridors butchering the patients and staff.,Bob Keen,"['Bob Keen', 'Vlady Pildysh']","['Meredith Henderson', 'Nathan Stephenson', 'James Binkley', 'Robert Englund', 'Laura de Carteret', 'Scott Gibson', 'Michael Cram', 'Ted Ludzik', 'Lori Hallier', 'John Bayliss', 'Wayne Flemming', 'Celine Lepage', 'David Roche', 'Drew Carnwath', 'Amy Lalonde', 'Christopher Cordell', 'Geoff Scovell', 'Lisa Young']",Bob Keen
The Wicker Man,2006,2006,3.7,"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.",Neil LaBute,"['Neil LaBute', 'Neil LaBute']","['Nicolas Cage', 'Ellen Burstyn', 'Leelee Sobieski', 'Kate Beahan', 'Frances Conroy', 'Molly Parker', 'Diane Delano', 'Michael Wiseman', 'Erika-Shaye Gair', 'Christa Campbell', 'Emily Holmes', 'Zemphira Gosling', 'Matthew Walker', 'Mary Black', 'Christine Willes', 'Sophie Hough', 'David Purvis', 'Xantha Radley']",Neil LaBute
Blood: The Last Vampire,2009,2009,5.2,"A vampire named Saya, who is part of covert government agency that hunts and destroys demons in a post-WWII Japan, is inserted in a military school to discover which one of her classmates is a demon in disguise.",Chris Nahon,"['Chris Nahon', 'Chris Chow']","['Jun Ji-hyun', 'Allison Miller', 'Liam Cunningham', 'JJ Feild', 'Koyuki', 'Yasuaki Kurata', 'Larry Lamb', 'Andrew Pleavin', 'Michael Byrne', 'Colin Salmon', 'Masiela Lusha', ""Ailish O'Connor"", 'Constantine Gregory', 'Joey Anaya', 'Khary Payton', 'Liu Lei', 'Santiago Alonso', 'Héctor Alonso']",Chris Nahon
The Kid,2000,2000,6.1,An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.,Jon Turteltaub,"['Jon Turteltaub', 'Audrey Wells']","['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer', 'Lily Tomlin', 'Jean Smart', 'Chi McBride', 'Daniel von Bargen', 'Dana Ivey', 'Susan Dalian', 'Stanley Anderson', 'Juanita Moore', 'Esther Scott', 'Deborah May', 'Vernee Watson', 'Jan Hoag', 'Melissa McCarthy', 'Elizabeth Arlen', 'Alexandra Barreto']",Jon Turteltaub
Delivery Man,2013,2013,6.3,An affable underachiever finds out he's fathered 533 children through anonymous donations to a fertility clinic 20 years ago. Now he must decide whether or not to come forward when 142 of them file a lawsuit to reveal his identity.,Ken Scott,"['Ken Scott', 'Ken Scott']","['Vince Vaughn', 'Chris Pratt', 'Cobie Smulders', 'Jack Reynor', 'Andrzej Blumenfeld', 'Simon Delaney', 'Bobby Moynihan', 'Dave Patten', 'Adam Chanler-Berat', 'Britt Robertson', 'Amos VanderPoel', 'Matthew Daddario', 'Jessica Williams', 'Leslie Ann Glossner', 'Derrick Arthur', 'Michael Oberholtzer', 'Sébastien René', 'Kevin Hopkins']",Ken Scott
Stay Alive,2006,2006,5.0,"For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess.",William Brent Bell,"['William Brent Bell', 'William Brent Bell']","['Jon Foster', 'Samaire Armstrong', 'Frankie Muniz', 'Jimmi Simpson', 'Wendell Pierce', 'Milo Ventimiglia', 'Sophia Bush', 'Adam Goldberg', 'Billy Slaughter', 'Nicole Oppermann', 'April Wood', 'Monica Monica', 'Rio Hackford', 'Billy Louviere', 'J. Richey Nash', 'Maria Kalinina', 'Lauren Lorbeck', 'Veronica Mosgrove']",William Brent Bell
X-Men: Apocalypse,2016,2016,6.9,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",Bryan Singer,"['Bryan Singer', 'Simon Kinberg']","['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult', 'Oscar Isaac', 'Rose Byrne', 'Evan Peters', 'Josh Helman', 'Sophie Turner', 'Tye Sheridan', 'Lucas Till', 'Kodi Smit-McPhee', 'Ben Hardy', 'Alexandra Shipp', 'Lana Condor', 'Olivia Munn', 'Warren Scherer', 'Rochelle Okoye']",Bryan Singer
Alexander the Great,1956,1956,5.8,"The life and military conquests of Alexander III of Macedon (July 20/21, 356 - June 10/11, 323 B.C.), commonly known as Alexander the Great.",Robert Rossen,"['Robert Rossen', 'Robert Rossen']","['Richard Burton', 'Fredric March', 'Claire Bloom', 'Barry Jones', 'Harry Andrews', 'Stanley Baker', 'Niall MacGinnis', 'Peter Cushing', 'Michael Hordern', 'Marisa de Leza', 'Gustavo Rojo', 'Rubén Rojo', 'Peter Wyngarde', 'Helmut Dantine', 'William Squire', 'Friedrich von Ledebur', 'Virgilio Teixeira', 'Teresa del Río']",Robert Rossen
Warcraft,2016,2016,6.7,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Duncan Jones,"['Duncan Jones', 'Charles Leavitt']","['Travis Fimmel', 'Paula Patton', 'Ben Foster', 'Dominic Cooper', 'Toby Kebbell', 'Ben Schnetzer', 'Robert Kazinsky', 'Clancy Brown', 'Daniel Wu', 'Ruth Negga', 'Anna Galvin', 'Callum Keith Rennie', 'Burkely Duffield', 'Ryan Robbins', 'Dean Redman', 'Glenn Ennis', 'Terry Notary', 'Elena Wurlitzer']",Duncan Jones
Antibirth,2016,2016,4.8,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a wild night of partying with symptoms of a strange illness and recurring visions as she struggles to get a grip on reality while stories of conspiracy spread.",Danny Perez,"['Danny Perez', 'Danny Perez']","['Natasha Lyonne', 'Chloë Sevigny', 'Meg Tilly', 'Mark Webber', 'Maxwell McCabe-Lokos', 'Emmanuel Kabongo', 'Neville Edwards', 'Morgan I. Bedard', 'Corey Pascall', 'Lili Francks', 'M.J. Dionne', 'Jessica Greco', 'Kevin Hoffman', 'Chad Gibbons', 'Spider Allen', 'Wayne St. George', 'Alyssa Carmichael', 'R. Carmichael']",Danny Perez
Long Pants,1927,1927,6.3,"Harry Shelby receives his first pair of long pants. He immediately falls in love with a cocaine-smuggling flapper named Bebe. When Bebe is imprisoned, he decides to rescue her; to do this, he must break off his forthcoming wedding to his childhood sweetheart Priscilla by any means necessary--including murder.",Frank Capra,"['Frank Capra', 'Robert Eddy']","['Harry Langdon', 'Gladys Brockwell', 'Alan Roscoe', 'Priscilla Bonner', 'Alma Bennett', 'Betty Francisco', 'Billy Aikin', 'Rosalind Byrne', 'Ann Christy', 'Frankie Darro', 'John Darrow', 'Artye Folz', 'Young Griffo', 'Ruth Hiatt', 'Tenen Holtz', 'Peaches Jackson', 'Bud Jamison', 'Muriel Kingston']",Frank Capra
Lay the Favorite,2012,2012,4.8,"Ex-private dancer Beth aspires to be a Las Vegas cocktail waitress, when she falls in with Dink, a sports gambler. Sparks fly as she proves to be something of a gambling prodigy--much to the ire of Dink's wife, Tulip.",Stephen Frears,"['Stephen Frears', 'D.V. DeVincentis']","['Rebecca Hall', 'Bruce Willis', 'Vince Vaughn', 'Catherine Zeta-Jones', 'Joel Murray', 'Hugo Armstrong', 'Corbin Bernsen', 'Earl Maddox', 'Rio Hackford', 'Jo Newman', 'Laura Prepon', 'Frank Grillo', 'Wayne Pére', 'Adam Kozlowski', 'Al Brown', 'Thom Sesma', 'Rusty Meyers', 'Wendell Pierce']",Stephen Frears
Sorority Boys,2002,2002,5.4,"Strapped for cash, three fraternity playboys make one last attempt to live the high life - cheaply - by masquerading as girls. But their chauvinistic ways come back to haunt them as they get a crash course in the opposite sex.",Wallace Wolodarsky,"['Wallace Wolodarsky', 'Joe Jarvis']","['Barry Watson', 'Harland Williams', 'Michael Rosenbaum', 'Melissa Sagemiller', 'Tony Denman', 'Brad Beyer', 'Kathryn Stockwood', 'Heather Matarazzo', 'Yvonne Sciò', 'Kerri Higuchi', 'Dublin James', 'Omar Benson Miller', 'Mike Beaver', 'Rich Ronat', 'Brian Gross', 'Christopher Leps', 'Daniel Farber', 'Phyllis Lyons']",Wallace Wolodarsky
Scary or Die,2012,2012,4.0,Five complete strangers attempt to escape a gruesome demise by a clown that feeds upon human flesh.,Bob Badway,"['Bob Badway', 'Michael Emanuel']","['Bill Oberst Jr.', 'Hali Lula Hudson', 'Shawn-Caulin Young', 'Charles Rahi Chun', 'Alexandria Choi', 'Christopher Darga', 'John Moran', 'Randy McPherson', 'Corbin Bleu', 'Elizabeth Di Prinzio', 'Domiziano Arcangeli', 'PaSean Wilson', 'Xavier Davis', 'Derrick Jones', 'Shannon Bobo', 'David Reivers', 'Nikki Moore', 'Sage Phoenix Reivers']",Bob Badway
